site,region,A1depth,clay,silt,sand,gap_fraction,LAI,Abv Dir,MinT,MaxT,DailyP,AveT,lat,long,Acer_spicatum,Amelanchier_spp,Aronia_melanocarpa,Carpinus_caroliniana,Comptonia_peregrina,Cornus_alternifolia,Cornus_racemosa,Corylus_americana,Corylus_cornuta,Crataegus_spp,Diervilla_lonicera,Dirca_palustris,Euonymus_altana,Euonymus_spp,Hamamelis_virginiana,Lonicera_canadensis,Lonicera_reticulata,Lonicera_rotifolia,Lonicera_spp,Ostrya_virginiana,Prunus_americana,Prunus_pensylvanica,Prunus_serotina,Prunus_virginiana,Rhamnus_cathartica,Ribes_americanum,Ribes_cynosbati,Ribes_spp,Rosa_multiflora,Rubus_alleghaniensis,Rubus_idaeus,Rubus_occidentalis,Rubus_spp,Sambucus_nigra,Sambucus_racemosa,Staphylea_trifolia,Vaccinium_angustifolium,Vaccinium_myrtlloides,Viburnum_acerifolium,Viburnum_dentata,Viburnum_lentago,Viburnum_rafinesqueanum,Viburnum_trilobum,Zanthoxylum_americanum
AW,s,14.7595,8.194681741,45.8101099,45.99520836,2.2784,4.7465,16.064,37.1501,57.94692,0.1054,47.54092,42.683233,-89.48464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,88,0,0,0,0,0,0,0,0
BAX,s,11.7685,5.245851635,68.38306741,26.37108096,3.5505,4.0135,21.7,35.02126,57.18064,0.10559,46.0246,43.395124,-89.797804,0,5,0,263,0,0,18,0,26,0,0,0,0,0,1,0,0,1,2,5,1,0,0,86,0,0,18,0,0,18,0,8,0,1,0,0,0,0,31,0,19,6,1,14
BH,s,11.9925,4.588775644,54.57587148,40.83535287,2.809,4.303,21.19,36.08233,56.42997,0.10328,46.30022,43.68384,-90.027564,1,0,0,43,6,6,0,0,0,0,0,0,0,0,40,2,0,0,0,13,0,0,0,39,0,0,13,0,3,0,0,10,0,0,0,0,0,0,48,0,0,0,0,0
CH,n,13.2125,2.524365333,42.66154165,54.81409301,1.67185,5.0465,21.43,31.2858,51.68446,0.07791,41.51721,46.324409,-90.788671,0,16,0,0,19,0,96,0,0,0,0,15,0,0,0,138,0,0,0,54,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
DH,n,9.0635,2.822307584,18.359354,78.81833842,4.403888889,3.623888889,21.47,30.50484,50.96272,0.09139,40.54588,45.922576,-90.106871,85,6,0,0,0,0,92,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,4,3,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
EH,s,8.3425,6.813054281,59.81081049,33.37613523,5.0424,3.684,21.72,37.11107,57.44316,0.10905,47.329,43.084347,-89.443087,0,0,0,0,10,0,0,0,18,0,0,0,0,1,0,0,0,0,3,0,0,0,0,70,13,0,0,0,0,0,0,0,0,0,50,0,0,0,12,12,6,0,47,0
KS,n,14.846,3.534266112,21.48208173,74.98365215,2.816166667,4.412777778,21.48,28.83579,50.5088,0.09379,39.66248,45.839319,-89.676144,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LL,n,18.5805,3.32560867,30.40508809,66.26930324,4.400105263,3.895263158,21.42842105,30.26423,51.54557,0.09448,40.90172,46.05049,-89.458586,0,2,0,0,0,0,0,0,0,0,0,22,0,0,0,5,0,0,0,70,0,1,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
MW,s,13.3035,8.088027735,72.83632292,19.07564934,1.6056,5.422,20.9035,35.1088,57.11226,0.1058,46.05229,43.452271,-89.815857,0,0,1,0,9,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,42
NOW,s,12.3725,7.277181456,69.26805158,23.45476696,3.00855,4.326,21.7165,36.74197,57.52201,0.10382,47.00886,43.080325,-89.672796,0,0,0,0,44,13,0,0,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,258,277,0,67,0,1,34,0,41,0,0,0,0,0,0,0,0,7,0,0,484
PL,n,6.2375,3.939211143,10.37245322,85.68833564,7.0849,3.1055,21.4595,30.2879,51.57037,0.09476,40.92643,46.022172,-89.464251,0,54,0,0,0,39,20,6,0,0,18,0,0,0,0,23,0,0,0,0,0,2,0,0,0,0,0,0,0,0,31,0,0,0,0,0,198,151,0,0,0,0,0,0
PLH,n,10.0305,1.512393264,18.71367993,79.77392681,4.499631579,3.81,21.45157895,29.92722,51.25398,0.09502,40.57829,46.19462,-89.495596,0,2,0,0,0,0,0,0,0,0,0,20,0,0,0,37,0,0,0,0,0,0,0,5,0,0,0,0,0,0,149,0,5,0,9,0,0,0,0,0,0,0,0,0
RL,n,14.087,4.133797622,17.80174959,78.06445278,1.7169,5.1475,18.0575,28.84089,50.5145,0.09402,39.66781,45.870535,-89.649321,0,3,0,0,0,0,7,0,0,0,7,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55,0,0,0,0,0
SPD,n,16.252,2.722751772,50.57683719,46.70041104,2.1529,4.7195,21.445,31.5067,51.88218,0.0772,41.72053,46.348834,-90.918778,3,15,0,0,3,0,0,0,0,0,0,13,0,0,0,48,0,0,0,53,0,0,3,43,0,0,0,79,0,0,121,0,0,0,3,0,0,0,1,0,0,0,0,0
TI,s,18.663,4.33354225,38.2783442,57.38811355,2.33765,4.6015,21.7165,37.10092,56.80013,0.10298,46.9705,42.98118,-88.585615,0,0,0,0,1,0,0,0,0,0,0,0,18,0,0,0,49,0,15,42,0,0,0,77,23,16,24,0,1,2,0,2,0,0,1,0,0,0,0,0,0,2,0,63
WW,s,14.29666667,7.0629725,54.69152728,38.24550022,2.60615,4.637,21.73,37.00009,57.49994,0.11021,47.31001,43.046188,-89.429189,0,0,1,0,3,0,0,0,5,2,0,0,3,0,0,0,0,0,2,0,0,0,0,34,78,30,1,0,0,0,0,0,0,0,2,0,0,0,130,0,7,16,0,0