date,site,trt,count,mean.burrow.diameter,mean.temp
10/16/22,1,Control,5,18.448,19.2712
10/16/22,1,Compact,8,20.28,19.2712
10/16/22,1,Rake,7,22.43571429,19.2712
10/16/22,1,Marine.Debris,4,15.3225,19.2712
10/16/22,2,Control,9,26.76444444,19.2712
10/16/22,2,Compact,8,27.3125,19.2712
10/16/22,2,Rake,6,25.11833333,19.2712
10/16/22,2,Marine.Debris,5,15.272,19.2712
10/16/22,3,Control,7,19.52714286,19.2712
10/16/22,3,Compact,7,16.50285714,19.2712
10/16/22,3,Rake,14,17.13714286,19.2712
10/16/22,3,Marine.Debris,12,15.445,19.2712
10/16/22,4,Control,9,23.84222222,19.2712
10/16/22,4,Compact,17,19.67176471,19.2712
10/16/22,4,Rake,6,17.78,19.2712
10/16/22,4,Marine.Debris,6,23.875,19.2712
10/16/22,5,Control,9,16.24333333,19.2712
10/16/22,5,Compact,5,15.738,19.2712
10/16/22,5,Rake,6,11.61666667,19.2712
10/16/22,5,Marine.Debris,4,24.31,19.2712
10/16/22,6,Control,10,29.374,19.2712
10/16/22,6,Compact,8,26.05875,19.2712
10/16/22,6,Rake,8,24.405,19.2712
10/16/22,6,Marine.Debris,8,24.21375,19.2712
10/16/22,7,Control,10,22.163,19.2712
10/16/22,7,Compact,7,27.66714286,19.2712
10/16/22,7,Rake,15,33.53266667,19.2712
10/16/22,7,Marine.Debris,10,19.367,19.2712
10/16/22,8,Control,7,34.77714286,19.2712
10/16/22,8,Compact,5,33.53,19.2712
10/16/22,8,Rake,5,23.156,19.2712
10/16/22,8,Marine.Debris,4,22.29,19.2712
10/16/22,9,Control,7,14.70285714,19.2712
10/16/22,9,Compact,4,34.6325,19.2712
10/16/22,9,Rake,8,20.37375,19.2712
10/16/22,9,Marine.Debris,9,25.81888889,19.2712
10/16/22,10,Control,14,19.54214286,19.2712
10/16/22,10,Compact,6,18.13666667,19.2712
10/16/22,10,Rake,11,19.40818182,19.2712
10/16/22,10,Marine.Debris,5,23.444,19.2712
10/17/22,1,Control,10,18.53,22.7656
10/17/22,1,Compact,6,18.595,22.7656
10/17/22,1,Rake,8,20.905,22.7656
10/17/22,1,Marine.Debris,9,12.60888889,22.7656
10/17/22,2,Control,11,18.37181818,22.7656
10/17/22,2,Compact,10,22.12,22.7656
10/17/22,2,Rake,7,25.20571429,22.7656
10/17/22,2,Marine.Debris,6,13.78,22.7656
10/17/22,3,Control,7,18.78428571,22.7656
10/17/22,3,Compact,7,19.12142857,22.7656
10/17/22,3,Rake,8,23.42875,22.7656
10/17/22,3,Marine.Debris,9,16.48333333,22.7656
10/17/22,4,Control,6,21.92333333,22.7656
10/17/22,4,Compact,6,28.25333333,22.7656
10/17/22,4,Rake,7,30.64285714,22.7656
10/17/22,4,Marine.Debris,5,19.886,22.7656
10/17/22,5,Control,6,18.40166667,22.7656
10/17/22,5,Compact,2,8.725,22.7656
10/17/22,5,Rake,4,17.47,22.7656
10/17/22,5,Marine.Debris,9,18.4,22.7656
10/17/22,6,Control,10,37.9544,22.7656
10/17/22,6,Compact,5,26.016,22.7656
10/17/22,6,Rake,7,27.12714286,22.7656
10/17/22,6,Marine.Debris,7,28.09571429,22.7656
10/17/22,7,Control,9,27.18555556,22.7656
10/17/22,7,Compact,3,28.73,22.7656
10/17/22,7,Rake,14,36.12571429,22.7656
10/17/22,7,Marine.Debris,8,29.2025,22.7656
10/17/22,8,Control,7,33.20714286,22.7656
10/17/22,8,Compact,1,31.7,22.7656
10/17/22,8,Rake,6,31.605,22.7656
10/17/22,8,Marine.Debris,8,27.01,22.7656
10/17/22,9,Control,3,28.53333333,22.7656
10/17/22,9,Compact,4,28.39,22.7656
10/17/22,9,Rake,6,23.81666667,22.7656
10/17/22,9,Marine.Debris,8,21.595,22.7656
10/17/22,10,Control,5,30.132,22.7656
10/17/22,10,Compact,0,NA,22.7656
10/17/22,10,Rake,3,26.83,22.7656
10/17/22,10,Marine.Debris,8,23.11625,22.7656
10/18/22,1,Control,2,22.73,19.5636
10/18/22,1,Compact,3,28.39333333,19.5636
10/18/22,1,Rake,2,31.32,19.5636
10/18/22,1,Marine.Debris,2,20.125,19.5636
10/18/22,2,Control,6,19.465,19.5636
10/18/22,2,Compact,4,31.0675,19.5636
10/18/22,2,Rake,2,20.06,19.5636
10/18/22,2,Marine.Debris,4,20.8425,19.5636
10/18/22,3,Control,5,24.36,19.5636
10/18/22,3,Compact,6,14.86,19.5636
10/18/22,3,Rake,4,28.4025,19.5636
10/18/22,3,Marine.Debris,8,28.60125,19.5636
10/18/22,4,Control,3,12.13666667,19.5636
10/18/22,4,Compact,5,32.47,19.5636
10/18/22,4,Rake,5,17.972,19.5636
10/18/22,4,Marine.Debris,5,20.43,19.5636
10/18/22,5,Control,3,20.92,19.5636
10/18/22,5,Compact,0,NA,19.5636
10/18/22,5,Rake,0,NA,19.5636
10/18/22,5,Marine.Debris,2,23.995,19.5636
10/18/22,6,Control,5,36.674,19.5636
10/18/22,6,Compact,4,38.22,19.5636
10/18/22,6,Rake,3,40.33666667,19.5636
10/18/22,6,Marine.Debris,7,26.53571429,19.5636
10/18/22,7,Control,3,29.15333333,19.5636
10/18/22,7,Compact,4,24.25,19.5636
10/18/22,7,Rake,6,26.88833333,19.5636
10/18/22,7,Marine.Debris,4,29.9225,19.5636
10/18/22,8,Control,5,47.982,19.5636
10/18/22,8,Compact,4,24.1725,19.5636
10/18/22,8,Rake,1,66,19.5636
10/18/22,8,Marine.Debris,4,39.7075,19.5636
10/18/22,9,Control,2,17.805,19.5636
10/18/22,9,Compact,3,34.86333333,19.5636
10/18/22,9,Rake,8,36.7625,19.5636
10/18/22,9,Marine.Debris,9,23.52444444,19.5636
10/18/22,10,Control,4,23.6175,19.5636
10/18/22,10,Compact,1,13.56,19.5636
10/18/22,10,Rake,1,19.43,19.5636
10/18/22,10,Marine.Debris,6,21.35833333,19.5636
10/19/22,1,Control,1,24.85,11.9493
10/19/22,1,Compact,2,23.595,11.9493
10/19/22,1,Rake,0,NA,11.9493
10/19/22,1,Marine.Debris,1,26.38,11.9493
10/19/22,2,Control,2,16.13,11.9493
10/19/22,2,Compact,5,24.468,11.9493
10/19/22,2,Rake,0,NA,11.9493
10/19/22,2,Marine.Debris,0,NA,11.9493
10/19/22,3,Control,3,16.57333333,11.9493
10/19/22,3,Compact,1,22.39,11.9493
10/19/22,3,Rake,1,17.74,11.9493
10/19/22,3,Marine.Debris,4,18.5725,11.9493
10/19/22,4,Control,1,12.75,11.9493
10/19/22,4,Compact,3,24.04333333,11.9493
10/19/22,4,Rake,0,NA,11.9493
10/19/22,4,Marine.Debris,3,24.57333333,11.9493
10/19/22,5,Control,1,9.74,11.9493
10/19/22,5,Compact,0,NA,11.9493
10/19/22,5,Rake,1,25.85,11.9493
10/19/22,5,Marine.Debris,1,14.1,11.9493
10/19/22,6,Control,1,31.43,11.9493
10/19/22,6,Compact,1,23.6,11.9493
10/19/22,6,Rake,2,13.715,11.9493
10/19/22,6,Marine.Debris,4,21.3875,11.9493
10/19/22,7,Control,2,25.34,11.9493
10/19/22,7,Compact,1,28.47,11.9493
10/19/22,7,Rake,3,23.86,11.9493
10/19/22,7,Marine.Debris,4,37.345,11.9493
10/19/22,8,Control,2,37.41,11.9493
10/19/22,8,Compact,0,NA,11.9493
10/19/22,8,Rake,1,9.23,11.9493
10/19/22,8,Marine.Debris,2,12.225,11.9493
10/19/22,9,Control,0,NA,11.9493
10/19/22,9,Compact,0,NA,11.9493
10/19/22,9,Rake,4,26.0575,11.9493
10/19/22,9,Marine.Debris,5,31.126,11.9493
10/19/22,10,Control,2,12.475,11.9493
10/19/22,10,Compact,0,NA,11.9493
10/19/22,10,Rake,0,NA,11.9493
10/19/22,10,Marine.Debris,2,33.47,11.9493
10/20/22,1,Control,1,30.27,12.2442
10/20/22,1,Compact,2,13.505,12.2442
10/20/22,1,Rake,0,NA,12.2442
10/20/22,1,Marine.Debris,0,NA,12.2442
10/20/22,2,Control,3,15.19333333,12.2442
10/20/22,2,Compact,0,NA,12.2442
10/20/22,2,Rake,2,12.97,12.2442
10/20/22,2,Marine.Debris,1,12.55,12.2442
10/20/22,3,Control,2,35.545,12.2442
10/20/22,3,Compact,1,16.09,12.2442
10/20/22,3,Rake,0,NA,12.2442
10/20/22,3,Marine.Debris,4,24.9325,12.2442
10/20/22,4,Control,2,8.945,12.2442
10/20/22,4,Compact,1,12.28,12.2442
10/20/22,4,Rake,0,NA,12.2442
10/20/22,4,Marine.Debris,2,30.455,12.2442
10/20/22,5,Control,0,NA,12.2442
10/20/22,5,Compact,0,NA,12.2442
10/20/22,5,Rake,1,21.02,12.2442
10/20/22,5,Marine.Debris,1,11.17,12.2442
10/20/22,6,Control,3,16.76666667,12.2442
10/20/22,6,Compact,1,31,12.2442
10/20/22,6,Rake,3,10.01,12.2442
10/20/22,6,Marine.Debris,3,21.63666667,12.2442
10/20/22,7,Control,4,17.205,12.2442
10/20/22,7,Compact,1,26.23,12.2442
10/20/22,7,Rake,0,NA,12.2442
10/20/22,7,Marine.Debris,2,32.04,12.2442
10/20/22,8,Control,2,32.665,12.2442
10/20/22,8,Compact,2,19.305,12.2442
10/20/22,8,Rake,0,NA,12.2442
10/20/22,8,Marine.Debris,3,10.14666667,12.2442
10/20/22,9,Control,4,19.755,12.2442
10/20/22,9,Compact,1,23.02,12.2442
10/20/22,9,Rake,5,39.106,12.2442
10/20/22,9,Marine.Debris,6,16.75666667,12.2442
10/20/22,10,Control,1,46.07,12.2442
10/20/22,10,Compact,0,NA,12.2442
10/20/22,10,Rake,1,20.29,12.2442
10/20/22,10,Marine.Debris,2,16.46,12.2442
10/21/22,1,Control,2,17.62,13.1783
10/21/22,1,Compact,2,16.025,13.1783
10/21/22,1,Rake,1,29.75,13.1783
10/21/22,1,Marine.Debris,3,15.53666667,13.1783
10/21/22,2,Control,6,15.58,13.1783
10/21/22,2,Compact,2,5.63,13.1783
10/21/22,2,Rake,1,23.39,13.1783
10/21/22,2,Marine.Debris,2,20.1,13.1783
10/21/22,3,Control,4,27.34,13.1783
10/21/22,3,Compact,2,13.49,13.1783
10/21/22,3,Rake,1,54.6,13.1783
10/21/22,3,Marine.Debris,6,26.03666667,13.1783
10/21/22,4,Control,1,20.95,13.1783
10/21/22,4,Compact,2,9.46,13.1783
10/21/22,4,Rake,2,12.485,13.1783
10/21/22,4,Marine.Debris,4,16.935,13.1783
10/21/22,5,Control,3,9.796666667,13.1783
10/21/22,5,Compact,1,49.41,13.1783
10/21/22,5,Rake,0,NA,13.1783
10/21/22,5,Marine.Debris,0,NA,13.1783
10/21/22,6,Control,5,17.272,13.1783
10/21/22,6,Compact,1,18.48,13.1783
10/21/22,6,Rake,4,20.385,13.1783
10/21/22,6,Marine.Debris,4,17.93,13.1783
10/21/22,7,Control,3,23.34666667,13.1783
10/21/22,7,Compact,0,NA,13.1783
10/21/22,7,Rake,4,14.9525,13.1783
10/21/22,7,Marine.Debris,4,22.21,13.1783
10/21/22,8,Control,2,34.485,13.1783
10/21/22,8,Compact,3,19.03666667,13.1783
10/21/22,8,Rake,1,10.37,13.1783
10/21/22,8,Marine.Debris,0,NA,13.1783
10/21/22,9,Control,2,18.94,13.1783
10/21/22,9,Compact,1,22.43,13.1783
10/21/22,9,Rake,3,32.43666667,13.1783
10/21/22,9,Marine.Debris,4,10.84,13.1783
10/21/22,10,Control,1,10.14,13.1783
10/21/22,10,Compact,1,29.89,13.1783
10/21/22,10,Rake,0,NA,13.1783
10/21/22,10,Marine.Debris,5,23.186,13.1783